epoch,train_k@20,train_k@40,train_k@80,train_k@100,train_k@200,train_k@300,test_k@20,test_k@40,test_k@80,test_k@100,test_k@200,test_k@300,train_loss,val_loss
0,0.11614444814448688,0.19812236379837408,0.316137424335584,0.3629148887684448,0.5257778578739964,0.6297110028531102,0.11447163310124112,0.19219017291195936,0.31031676255564516,0.3560028864142308,0.5199208320607103,0.6244331546178198,0.21154865622520447,0.21888844668865204
2,0.14029679147111418,0.23190976765652793,0.3667052768829612,0.4159652147375436,0.583640304530845,0.6827934190979063,0.1358105461747181,0.22433238203207467,0.3522733110718821,0.40387079098633083,0.5709689977489084,0.6686051491565072,0.1795545220375061,0.18286149203777313
4,0.14768433004134104,0.24832317985682184,0.38705977033481487,0.43801603048309495,0.6068818595747141,0.7045103985895147,0.1439196168424598,0.23758381266814893,0.3742712729689908,0.42421443165942363,0.5895998964588794,0.6866413781763054,0.1577974110841751,0.1671130508184433
6,0.16251135728637792,0.2670669482181503,0.40765177919493467,0.45909492555697445,0.6266297699876204,0.7217497340943098,0.15349145863996919,0.2528459681832664,0.38917377219312577,0.44017174112682783,0.604205954054706,0.696670106476622,0.1551453024148941,0.16332298517227173
8,0.16711793834740107,0.2764507714038365,0.4208283202182471,0.4721836688571528,0.6392371928187393,0.734071640556775,0.15739520196909962,0.26016274533562056,0.39901664572713147,0.4504137495868541,0.613995816444367,0.706291256176893,0.14399980008602142,0.16300146281719208
10,0.17258048745308321,0.2831022800718488,0.42775458369263963,0.4801775204474045,0.6470197501175938,0.7400968144737764,0.1620252370465908,0.2649724016678475,0.4063447462347928,0.4567160261187564,0.6187283166879046,0.7095835429737861,0.14093171060085297,0.16181206703186035
12,0.17771687069204853,0.2889969374928684,0.4348781573392268,0.4861797698992434,0.6534994942569449,0.74554550106764,0.16438054067595928,0.2724383340696435,0.4113315201900324,0.4625448791520896,0.6219407651842532,0.7133242717554109,0.13714906573295593,0.15746507048606873
14,0.18091735699373912,0.295443395041522,0.44353061101104474,0.49657326542357993,0.6619239050541597,0.7529661293274086,0.16909703183891445,0.27635455808633036,0.417660324787994,0.4693590636352215,0.6278472175725732,0.7175203039426722,0.13575436174869537,0.15480181574821472
16,0.17890684264435439,0.29612433708868013,0.44483719041742625,0.49768502073881804,0.6641871473538704,0.7551185802752032,0.1667288478468794,0.2759711351763244,0.4178786525019662,0.4670368257858511,0.629263829377181,0.7180985095855261,0.12997689843177795,0.15294744074344635
18,0.18260215257162818,0.2977951379083307,0.44829002219115005,0.5005336903085283,0.6663074025172345,0.7574349774618282,0.1690946013801007,0.27916630220546884,0.4195272063395383,0.4697299736561291,0.6317704698528736,0.7209961943795983,0.1254238337278366,0.14619961380958557
20,0.187664907954701,0.30766407833147913,0.4561706531543296,0.5095388273979768,0.6746710431657532,0.7660581669020976,0.17469390635644916,0.2854563232478348,0.4288015450229594,0.4795922884566067,0.6373104248805844,0.7264008272848541,0.12568943202495575,0.146021768450737
22,0.18950187356509599,0.3086243961689955,0.4591312737317293,0.5122207742108842,0.6777154573468787,0.7679910794594984,0.1740295219445267,0.2857314703471373,0.42697578802597536,0.4784965795403838,0.6389230654516367,0.727299674261713,0.11909598112106323,0.15162362158298492
24,0.19017136469398588,0.311190880957475,0.4606695034318265,0.5147633848593406,0.6794215106798243,0.7685639752718241,0.17680507263576428,0.2869848297945225,0.43047214196844547,0.47934563979779915,0.6382325553910246,0.7273923714379609,0.12273655086755753,0.1477164924144745
26,0.1957015212899127,0.313495888884132,0.46360176839884665,0.5160247364735294,0.6815207300351768,0.7704893180860277,0.17972401935712617,0.28787509687891527,0.43080381052991035,0.48150837863871093,0.6402474938202544,0.727901494765365,0.11840201914310455,0.14952851831912994
